feature,importance
net_flow,0.33293536254979456
avg_monthly_balance_KZT,0.18003712057276722
inflow_amount,0.08799509744758859
outflow_amount,0.05441093390166079
такси_spending,0.04802556900959641
financial_activity_ratio,0.04559456879718426
travel_transfer_amount,0.037992939702270974
total_transfer_amount,0.03014800093289593
avg_daily_activity,0.02561615013636321
travel_spending_total,0.02551335818181652
fx_transaction_count,0.024767232924092494
travel_spending_count,0.023274990662102833
fx_amount,0.0191226921952563
кафе_и_рестораны_spending,0.017834516565303073
travel_spending_frequency,0.016863271827314247
activity_days,0.009250526673792408
total_transaction_count,0.008522571004063272
travel_spending_avg,0.0075628748968941195
travel_transfer_count,0.0013054826445197845
развлечения_spending,0.000982596526054302
отели_spending,0.0007437576328449315
азс_spending,0.0005587182910240381
status_encoded,0.00043646590546712893
total_transfer_count,0.00028599653337537463
путешествия_spending,0.0001202333523050649
total_transaction_amount,9.897113365208351e-05
age,1.1388328987293626e-16
weekend_activity_ratio,0.0
vacation_activity_ratio,0.0
